Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Tenure Type Encoded,Property Type Encoded,Land Title Encoded,Transit Zone,Facility Count,Facility Tier,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Melaka,State_Negeri Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu,price
3.0,3.0,1667.0,20.0,462.0,1.0,12.0,0,1,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,580000.0
5.0,2.0,2020.0,20.0,462.0,2.0,12.0,0,1,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,650000.0
3.0,2.0,1012.0,23.0,744.0,3.0,12.0,1,5,2,1,10,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,369900.0
3.0,2.0,650.0,27.0,454.0,1.0,12.0,1,0,2,0,3,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,320000.0
3.0,2.0,650.0,5.0,462.0,1.0,12.0,1,0,1,1,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,220000.0
1.0,1.0,477.0,23.0,763.0,1.0,9.0,1,5,2,1,9,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,220000.0
3.0,2.0,1117.0,20.0,462.0,1.0,12.0,1,0,1,0,6,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,320000.0
2.0,1.0,516.0,20.0,462.0,1.0,12.0,1,3,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,118000.0
2.0,1.0,494.0,20.0,462.0,1.0,12.0,1,3,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125000.0
3.0,3.0,1200.0,20.0,462.0,2.0,12.0,1,1,2,1,14,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,530000.0
4.0,3.0,1300.0,44.0,684.0,3.0,3.0,1,5,2,1,14,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,518000.0
2.0,1.0,526.0,20.0,462.0,1.0,12.0,1,3,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,110000.0
3.0,2.0,1261.0,26.0,344.0,2.0,7.0,1,1,2,1,10,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,659900.0
3.0,3.0,1690.0,18.0,156.0,2.0,12.0,1,1,1,1,10,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,738000.0
4.0,3.0,1300.0,44.0,684.0,1.0,3.0,1,5,2,1,14,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,545000.0
3.0,2.0,675.0,5.0,462.0,1.0,12.0,0,0,2,1,2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,97999.0
3.0,2.0,610.0,20.0,462.0,1.0,12.0,0,3,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,128000.0
3.0,2.0,850.0,20.0,462.0,1.0,12.0,1,0,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,230000.0
3.0,2.0,1000.0,38.0,900.0,1.0,3.0,0,0,2,1,11,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,450000.0
3.0,2.0,1000.0,38.0,900.0,2.0,3.0,0,0,2,1,6,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,445000.0
1.0,1.0,434.0,25.0,2003.0,1.0,7.0,1,5,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,205000.0
3.0,2.0,750.0,20.0,462.0,1.0,12.0,1,3,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,135000.0
2.0,1.0,525.0,20.0,462.0,1.0,12.0,1,3,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,120000.0
