Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Tenure Type Encoded,Property Type Encoded,Land Title Encoded,Transit Zone,Facility Count,Facility Tier,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Melaka,State_Negeri Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu
3.0,2.0,920.0,15.0,690.0,1.0,27.0,0,1,2,1,7,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2.0,2.0,1005.0,20.0,1050.0,1.0,8.0,1,1,2,0,12,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,3.0,1755.0,9.0,631.0,1.0,12.0,0,5,2,0,7,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3.0,2.0,650.0,20.0,462.0,1.0,12.0,1,0,2,0,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,800.0,30.0,249.0,1.0,14.0,0,0,2,0,10,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,850.0,15.0,462.0,1.0,13.0,1,1,1,1,6,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1080.0,17.0,444.0,2.0,12.0,0,1,1,1,3,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1690.0,10.0,117.0,2.0,12.0,1,0,2,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,700.0,24.0,234.0,1.0,12.0,1,0,2,0,3,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,1.0,560.0,20.0,462.0,1.0,12.0,0,3,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,1.0,624.0,20.0,462.0,1.0,12.0,0,0,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3.0,2.0,1313.0,20.0,396.0,3.0,19.0,1,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1.0,1.0,452.0,18.0,504.0,1.0,10.0,0,5,2,1,8,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,764.0,18.0,200.0,1.0,20.0,0,0,1,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,830.0,21.0,462.0,1.0,22.0,0,1,2,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1001.0,21.0,391.0,1.0,12.0,0,5,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1598.0,42.0,670.0,2.0,9.0,1,1,2,0,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.0,3.0,1646.0,44.0,378.0,2.0,8.0,1,1,2,0,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,650.0,20.0,462.0,1.0,12.0,1,0,2,0,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.0,2.0,1600.0,24.0,234.0,2.0,12.0,1,1,2,0,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,870.0,20.0,462.0,1.0,12.0,0,0,1,0,14,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3.0,2.0,650.0,15.0,462.0,1.0,12.0,0,0,1,1,3,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1017.0,20.0,462.0,2.0,12.0,1,5,2,1,12,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1470.0,14.0,1339.0,1.0,26.0,1,1,2,1,7,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4.0,3.0,1579.0,20.0,350.0,2.0,14.0,1,1,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,829.0,6.0,225.0,1.0,12.0,1,0,2,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,2.0,1077.0,8.0,89.0,2.0,12.0,0,0,2,0,10,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3.0,2.0,1000.0,20.0,462.0,1.0,11.0,1,1,2,0,9,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3.0,3.0,1598.0,42.0,670.0,2.0,9.0,1,1,2,0,5,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,4.0,2185.0,6.0,98.0,4.0,9.0,1,1,2,0,13,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,650.0,20.0,462.0,1.0,12.0,1,0,2,0,6,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2.0,1.0,753.0,20.0,462.0,1.0,12.0,1,0,2,0,6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,925.0,35.0,462.0,1.0,10.0,1,5,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,800.0,6.0,672.0,1.0,32.0,0,0,2,0,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1055.0,15.0,336.0,1.0,28.0,1,1,2,0,10,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.0,3.0,1280.0,20.0,462.0,3.0,12.0,1,1,2,1,14,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,850.0,20.0,462.0,1.0,12.0,0,0,1,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4.0,3.0,1508.0,20.0,462.0,2.0,12.0,1,1,2,1,14,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,654.0,38.0,554.0,1.0,12.0,1,0,2,0,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.0,3.0,1050.0,44.0,684.0,2.0,3.0,1,5,2,1,11,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1230.0,15.0,462.0,1.0,12.0,0,1,1,1,8,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1020.0,5.0,189.0,1.0,28.0,0,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1700.0,20.0,462.0,1.0,12.0,0,1,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3.0,2.0,850.0,5.0,462.0,1.0,12.0,0,2,2,0,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3.0,4.0,2044.0,20.0,135.0,2.0,12.0,0,1,2,0,2,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3.0,2.0,1417.0,18.0,752.0,1.0,26.0,0,1,2,1,14,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1110.0,38.0,462.0,2.0,16.0,0,1,2,0,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,700.0,25.0,462.0,1.0,12.0,0,0,2,0,6,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,650.0,2.0,462.0,1.0,12.0,1,0,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1100.0,20.0,462.0,1.0,12.0,0,0,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1000.0,20.0,462.0,1.0,12.0,0,0,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1.0,1.0,650.0,19.0,457.0,1.0,10.0,1,1,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,3.0,1400.0,135.0,462.0,2.0,13.0,1,1,2,1,9,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,936.0,38.0,420.0,2.0,15.0,1,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,700.0,5.0,462.0,1.0,12.0,1,0,1,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,852.0,12.0,462.0,1.0,26.0,0,0,2,1,11,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,774.0,36.0,630.0,1.0,10.0,0,5,2,1,9,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,969.0,20.0,1196.0,2.0,7.0,1,0,2,1,11,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1077.0,20.0,462.0,1.0,12.0,1,0,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1233.0,30.0,410.0,2.0,9.0,1,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,750.0,11.0,792.0,1.0,24.0,0,0,1,1,6,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.0,2.0,1333.0,25.0,800.0,2.0,12.0,0,1,2,1,8,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1300.0,20.0,462.0,1.0,12.0,0,1,2,0,3,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3.0,2.0,645.0,20.0,462.0,1.0,12.0,1,3,2,0,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1273.0,20.0,462.0,2.0,12.0,1,1,2,0,6,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.0,2.0,850.0,15.0,462.0,1.0,13.0,1,1,2,1,7,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,1.0,519.0,20.0,462.0,1.0,12.0,0,3,1,1,3,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,2.0,797.0,20.0,462.0,1.0,12.0,0,1,2,0,11,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,850.0,20.0,462.0,2.0,12.0,0,0,2,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1100.0,19.0,462.0,1.0,30.0,0,1,2,1,7,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,850.0,28.0,422.0,1.0,29.0,1,1,2,0,11,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,917.0,16.0,1.0,1.0,12.0,0,5,2,1,9,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,838.0,22.0,816.0,1.0,19.0,1,1,2,0,9,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2.0,3.0,1378.0,20.0,462.0,1.0,12.0,0,1,2,0,7,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3.0,2.0,830.0,20.0,462.0,1.0,12.0,0,0,1,1,6,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,850.0,4.0,348.0,1.0,12.0,1,3,2,0,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,2.0,1213.0,40.0,500.0,1.0,22.0,1,1,2,0,10,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,870.0,5.0,462.0,1.0,12.0,0,0,1,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,800.0,22.0,462.0,1.0,21.0,0,0,2,0,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1000.0,30.0,410.0,2.0,9.0,1,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1000.0,20.0,462.0,2.0,6.0,1,0,2,0,9,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,680.0,20.0,462.0,2.0,12.0,1,0,2,0,3,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.0,4.0,1710.0,20.0,670.0,2.0,12.0,1,1,2,1,12,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,700.0,24.0,234.0,1.0,12.0,1,0,2,0,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,1.0,645.0,20.0,462.0,1.0,12.0,0,3,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1.0,1.0,484.0,20.0,1160.0,1.0,13.0,1,5,2,0,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,936.0,5.0,480.0,1.0,20.0,1,1,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,1.0,560.0,20.0,462.0,2.0,12.0,1,3,2,0,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1185.0,20.0,462.0,2.0,12.0,1,0,1,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,845.0,21.0,744.0,1.0,24.0,1,1,2,1,10,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1114.0,20.0,462.0,2.0,12.0,1,1,2,0,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,789.0,20.0,462.0,1.0,12.0,1,0,2,0,14,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3.0,2.0,950.0,20.0,462.0,2.0,12.0,1,1,2,0,12,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3.0,2.0,1200.0,20.0,771.0,2.0,10.0,1,1,2,0,6,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,950.0,43.0,639.0,1.0,6.0,0,5,1,1,11,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,3.0,1450.0,16.0,470.0,2.0,12.0,1,1,2,0,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1168.0,25.0,364.0,1.0,13.0,1,5,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.0,2.0,810.0,25.0,2003.0,1.0,7.0,1,5,2,0,10,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.0,1.0,557.0,20.0,296.0,1.0,9.0,0,1,2,1,9,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1023.0,5.0,200.0,1.0,22.0,0,0,2,1,8,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,743.0,20.0,462.0,2.0,12.0,1,3,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,748.0,20.0,462.0,1.0,12.0,0,1,1,1,8,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,1500.0,20.0,144.0,4.0,12.0,1,5,2,1,7,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,660.0,20.0,462.0,1.0,12.0,1,0,1,0,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3.0,2.0,1090.0,16.0,462.0,1.0,12.0,0,1,2,0,8,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4.0,2.0,1650.0,20.0,462.0,2.0,12.0,1,1,2,0,5,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,800.0,20.0,462.0,1.0,12.0,0,0,1,0,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.0,2.0,1680.0,20.0,462.0,1.0,12.0,1,0,2,0,2,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3.0,2.0,1410.0,20.0,462.0,2.0,12.0,0,0,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
